10.000,300.000
1630565313973014272.000,23.390
1630565323987384832.000,23.440
1630565334001885184.000,23.470
1630565344016160768.000,23.520
1630565354030565888.000,23.600
1630565364042390528.000,23.690
1630565374056894208.000,23.790
1630565384065542912.000,23.880
1630565394080061952.000,23.970
1630565404094294016.000,24.060
1630565414103948544.000,24.150
1630565424110321920.000,24.220
1630565434122209280.000,24.220
1630565444134569728.000,24.170
1630565454148870400.000,24.100
1630565464154890752.000,23.980
1630565474169361152.000,23.840
1630565484183732224.000,23.690
1630565494194332416.000,23.550
1630565504206279936.000,23.410
1630565514220454144.000,23.270
1630565524234886912.000,23.160
1630565534246356224.000,23.070
1630565544260803072.000,23.010
1630565554275068160.000,22.980
1630565564289527296.000,22.990
1630565574303825408.000,23.040
1630565584318312960.000,23.120
1630565594326480640.000,23.220
1630565604340969472.000,23.330
1630565614354460416.000,23.430
1630565624360320256.000,23.540
1630565634374725376.000,23.650
1630565644389062656.000,23.750
1630565654403400960.000,23.850
1630565664409863168.000,23.940
1630565674416095488.000,24.020
1630565684430407424.000,24.100
1630565694440665088.000,24.160
1630565704446640128.000,24.160
1630565714461080320.000,24.130
1630565724466520576.000,24.050
1630565734478533888.000,23.930
1630565744492879360.000,23.800
1630565754499801088.000,23.670
1630565764514311936.000,23.550
1630565774528561664.000,23.450
1630565784543002624.000,23.330
1630565794557282304.000,23.200
1630565804571655168.000,23.120
1630565814578429440.000,23.100
1630565824590225152.000,23.130
1630565834604537344.000,23.190
1630565844619022592.000,23.270
1630565854633672192.000,23.360
1630565864646328064.000,23.460
1630565874661150208.000,23.570
1630565884675181056.000,23.670
1630565894686255104.000,23.780
1630565904700636672.000,23.870
1630565914712118016.000,23.980
1630565924726325248.000,24.070
1630565934735577600.000,24.150
1630565944749724416.000,24.230
1630565954764009728.000,24.270
1630565964778233600.000,24.260
1630565974785602304.000,24.210
1630565984799936512.000,24.120
1630565994811399680.000,24.000
1630566004825705472.000,23.850
1630566014838470144.000,23.730
1630566024850421760.000,23.620
1630566034862263040.000,23.490
1630566044867399424.000,23.400
1630566054881971200.000,23.330
1630566064894252800.000,23.300
1630566074898891264.000,23.300
1630566084913363968.000,23.330
1630566094927853312.000,23.390
1630566104938220288.000,23.470
1630566114952507136.000,23.560
1630566124966767616.000,23.650
1630566134981301248.000,23.730
1630566144995581440.000,23.820
1630566155010131456.000,23.900
1630566165022405376.000,23.980
1630566175036909312.000,24.010
1630566185051422464.000,24.010
1630566195061734912.000,23.980
1630566205076132608.000,23.940
1630566215090617344.000,23.900
1630566225095327488.000,23.880
1630566235109683968.000,23.840
1630566245122196480.000,23.790
1630566255136505600.000,23.710
1630566265150258176.000,23.600
1630566275164662016.000,23.480
1630566285174262528.000,23.360
1630566295185749760.000,23.220
1630566305200169984.000,23.130
1630566315206466816.000,23.070
1630566325220963584.000,23.040
1630566335234600704.000,23.040
1630566345246321664.000,23.070
1630566355260772352.000,23.100
1630566365275099136.000,23.140
1630566375289357312.000,23.180
1630566385303661312.000,23.210
1630566395317940992.000,23.240
1630566405332350464.000,23.270
1630566415344876544.000,23.300
1630566425359356672.000,23.320
1630566435373659648.000,23.330
1630566445388106240.000,23.340
