1628811945867832064.000,10.000,10.000,240.000
1628811945867916800.000,106.111,2153.000,0.000
1628811966098882048.000,108.468,664.000,0.000
1628811986234985984.000,98.068,808.000,0.000
1628812006566857728.000,108.298,761.000,0.000
1628812026698490112.000,94.354,525.000,0.000
1628812046811636224.000,93.305,572.000,0.000
1628812066879698176.000,111.800,665.000,0.000
1628812086957051136.000,137.995,1618.000,0.000
1628812107168235520.000,171.936,1874.000,0.000
1628812127235110400.000,103.744,973.000,0.000
1628812147298883328.000,113.121,1224.000,0.000
1628812167367823104.000,125.160,1525.000,0.000
1628812187440907520.000,103.180,773.000,0.000
1628812207499624960.000,154.372,1616.000,0.000
1628812227569929728.000,110.811,1532.000,0.000
1628812247640077568.000,120.848,2412.000,0.000
1628812267713890048.000,118.238,1561.000,0.000
1628812287782828800.000,131.964,799.000,0.000
1628812307854847232.000,181.156,6731.000,0.000
1628812327984102400.000,100.030,530.000,0.000
1628812348038539520.000,132.605,1239.000,0.000
1628812368096030720.000,103.444,866.000,0.000
1628812388169568512.000,125.986,2222.000,0.000
1628812408236163072.000,178.258,2778.000,0.000
1628812428296606464.000,692.643,8775.000,0.000
1628812448358861056.000,136.072,2213.000,0.000
1628812468426987008.000,108.161,534.000,0.000
1628812488505787392.000,117.101,703.000,0.000
1628812508585745152.000,105.354,1385.000,0.000
1628812528658971136.000,98.139,488.000,0.000
1628812548722999808.000,163.187,4074.000,0.000
1628812568810855936.000,100.153,629.000,0.000
1628812588875528960.000,99.332,868.000,0.000
1628812608941549312.000,122.255,1010.000,0.000
1628812629012123392.000,104.088,544.000,0.000
1628812649091941888.000,91.386,441.000,0.000
1628812669154135552.000,92.625,525.000,0.000
1628812689229703168.000,148.156,2009.000,0.000
1628812709290795008.000,178.693,2342.000,0.000
1628812729374353152.000,120.241,2700.000,0.000
1628812749443566080.000,96.503,553.000,0.000
1628812769521224704.000,98.457,869.000,0.000
1628812789590890752.000,158.563,2556.000,0.000
1628812809682621696.000,119.870,1679.000,0.000
1628812829743046144.000,168.079,2093.000,0.000
1628812849810166784.000,219.341,1820.000,0.000
1628812869893384448.000,94.517,506.000,0.000
1628812889964548096.000,89.445,450.000,0.000
1628812910042056960.000,88.883,534.000,0.000
1628812930121012736.000,100.557,638.000,0.000
1628812950193475840.000,105.590,610.000,0.000
1628812970266148352.000,87.894,453.000,0.000
1628812990336393728.000,115.231,746.000,0.000
1628813010404410880.000,99.708,522.000,0.000
1628813030481388800.000,108.097,594.000,0.000
1628813050586922496.000,114.542,635.000,0.000
1628813070652814592.000,131.773,2693.000,0.000
1628813090727899648.000,177.838,5296.000,0.000
1628813110786606080.000,136.349,2459.000,0.000
1628813130861429248.000,101.218,835.000,0.000
1628813150923747072.000,127.279,907.000,0.000
1628813170987117824.000,91.386,429.000,0.000
1628813191055961088.000,119.275,1241.000,0.000
1628813211123057152.000,116.960,661.000,0.000
1628813231186316032.000,89.865,449.000,0.000
1628813251259480320.000,113.118,615.000,0.000
1628813271324730112.000,101.837,601.000,0.000
1628813291425807360.000,93.226,496.000,0.000
1628813311487192320.000,98.793,570.000,0.000
1628813331548909312.000,106.113,642.000,0.000
