1628814007238777344.000,25.440,992.750,58.232,21878.766
1628814027263305216.000,25.440,992.720,58.123,21878.766
1628814047280640000.000,25.430,992.740,58.264,22039.974
1628814067299545600.000,25.430,992.740,58.232,22039.974
1628814087319154432.000,25.430,992.740,58.148,22063.198
1628814107336465152.000,25.420,992.740,58.106,22109.793
1628814127347960064.000,25.420,992.680,58.112,22133.164
1628814147371991552.000,25.410,992.680,58.127,22274.436
1628814167396426752.000,25.410,992.690,58.208,22274.436
1628814187420896000.000,25.410,992.690,58.504,22345.751
1628814207428679936.000,25.410,992.700,58.626,22393.548
1628814227452930048.000,25.400,992.710,58.818,22586.800
1628814247477180672.000,25.400,992.710,58.933,22489.759
1628814267499022336.000,25.400,992.700,59.102,22611.191
1628814287523412736.000,25.400,992.700,58.986,22635.635
1628814307540946944.000,25.390,992.700,58.762,22660.132
1628814327565434112.000,25.390,992.700,58.775,22635.635
1628814347571734016.000,25.390,992.700,58.750,22684.682
1628814367595981312.000,25.390,992.700,58.743,22808.234
1628814387603758848.000,25.380,992.690,58.840,22684.682
1628814407627024640.000,25.380,992.700,58.884,22808.234
1628814427648894720.000,25.380,992.680,58.968,22833.107
1628814447673226240.000,25.380,992.680,58.962,22783.416
1628814467697717760.000,25.380,992.660,59.019,22883.014
1628814487718898688.000,25.380,992.670,58.937,22933.140
1628814507734160896.000,25.380,992.680,58.981,23008.742
1628814527758499840.000,25.370,992.680,58.946,22983.486
1628814547777136640.000,25.380,992.680,58.956,23084.844
1628814567791059712.000,25.370,992.680,59.011,22958.285
1628814587815302656.000,25.370,992.680,59.087,23110.324
1628814607826077696.000,25.370,992.680,58.959,23110.324
1628814627850531840.000,25.370,992.670,58.895,23161.452
1628814647874974464.000,25.370,992.670,58.992,23161.452
1628814667897431296.000,25.370,992.660,58.999,23238.569
1628814687921913600.000,25.370,992.660,59.011,23238.569
1628814707946351104.000,25.370,992.660,58.895,23238.569
1628814727970723584.000,25.370,992.660,58.952,23420.523
1628814747995346688.000,25.360,992.660,59.037,23342.195
1628814768010944768.000,25.360,992.660,59.081,23446.749
1628814788035020544.000,25.360,992.670,59.018,23473.034
1628814808058970880.000,25.360,992.670,59.011,23446.749
1628814828083257856.000,25.360,992.670,59.011,23552.244
1628814848103168512.000,25.360,992.670,59.030,23525.781
