0.000,0.000,10.000,60.000,0.000
1631672827454643456.000,27.070,991.320,67.431,-1.000
1631672837466119936.000,27.130,991.330,67.454,3781.959
1631672847476086784.000,27.120,991.320,67.373,4790.533
1631672857484048896.000,27.120,991.340,66.975,5903.484
1631672867498609664.000,27.110,991.370,66.399,6992.183
1631672877513332480.000,27.080,991.330,65.818,8029.127
1631672887520613888.000,27.040,991.340,65.547,8927.813
1631672897535088640.000,27.000,991.340,65.519,9752.780
1631672907547019520.000,26.950,991.340,65.294,10444.970
1631672917561608448.000,26.910,991.350,65.189,11052.644
1631672927569671680.000,26.880,991.360,65.194,11605.055
1631672937582512128.000,26.840,991.370,65.059,12033.546
1631672947592274432.000,26.800,991.350,64.988,12485.592
1631672957606847232.000,26.750,991.370,64.730,12821.994
1631672967616856832.000,26.710,991.380,65.041,13127.459
1631672977631746816.000,26.680,991.370,65.685,13421.974
1631672987645993728.000,26.660,991.340,66.030,13748.038
1631672997658268672.000,26.660,991.350,66.209,13912.460
1631673007670161664.000,26.660,991.400,66.446,14109.327
1631673017680621824.000,26.680,991.400,66.598,14282.560
1631673027690939392.000,26.710,991.400,66.460,14430.204
1631673037705505536.000,26.740,991.380,66.583,14591.092
1631673047720050432.000,26.760,991.380,66.742,14703.801
1631673057726787328.000,26.780,991.380,66.781,14818.264
1631673067741273088.000,26.810,991.410,66.642,14934.523
1631673077750584064.000,26.840,991.410,66.726,15009.461
1631673087765105920.000,26.860,991.420,66.971,15117.829
1631673097778201344.000,26.890,991.410,66.982,15183.604
1631673107786025984.000,26.920,991.410,66.905,15272.199
1631673117791556608.000,26.940,991.410,67.031,15339.328
1631673127806062592.000,26.960,991.410,67.094,15418.394
1631673137820476416.000,26.970,991.440,67.208,15521.256
1631673147834272000.000,26.980,991.450,66.735,15578.997
1631673157847518208.000,26.990,991.450,66.244,15754.827
1631673167858397184.000,26.980,991.440,65.667,15814.322
1631673177863407360.000,26.960,991.420,65.648,16007.763
1631673187874041344.000,26.920,991.450,65.188,16106.269
1631673197888562432.000,26.880,991.440,64.974,16243.712
1631673207903079168.000,26.830,991.450,64.993,16409.199
1631673217917526784.000,26.790,991.440,64.971,16525.757
1631673227922166272.000,26.760,991.440,65.522,16564.978
1631673237934371072.000,26.740,991.450,65.986,16643.982
1631673247944960256.000,26.720,991.440,66.417,16737.111
1631673257958260480.000,26.720,991.460,66.762,16723.743
1631673267972660224.000,26.720,991.460,66.935,16790.797
1631673277987114240.000,26.740,991.470,66.877,16844.828
1631673288001650176.000,26.750,991.480,66.932,16763.911
1631673298016211968.000,26.770,991.480,66.850,16844.828
1631673308027568896.000,26.790,991.470,67.015,16871.975
1631673318038270976.000,26.810,991.490,66.925,16940.225
1631673328052852736.000,26.830,991.490,66.983,16981.441
1631673338067350784.000,26.850,991.490,67.174,16981.441
1631673348078422784.000,26.870,991.490,67.333,17009.030
1631673358092974080.000,26.890,991.470,67.318,17009.030
